Frage_index|Lektion|Frage|Ground_truth
1|2|Welches Modell liegt dem in BSI-Standard 200-1 beschriebenen Sicherheitsprozess zugrunde?|ein Zyklus aus den Schritten Plan, Do, Check und Act,ein auf stetige Verbesserung angelegtes Modell
2|2|Was sollte eine Leitlinie zur Informationssicherheit enthalten?|Aussagen zur Bedeutung der Informationssicherheit für die betroffene Institution,grundlegende Regelungen zur Organisation der Informationssicherheit
3|2|Welche Aufgaben haben üblicherweise Informationssicherheitsbeauftragte?|die Entwicklung von Sicherheitskonzepten zu koordinieren,der Leitungsebene über den Stand der Informationssicherheit zu berichten
4|2|Wie setzt sich ein IS-Management-Team geeignet zusammen?|Die Geschäftsleitung setzt das Team aus Verantwortlichen für bestimmte IT-Systeme, Anwendungen, Datenschutz und IT-Service und (sofern vorhanden) dem ICS-ISB zusammen.
5|2|Wer ist für die Freigabe der Leitlinie zur Informationssicherheit verantwortlich?|die Unternehmens- oder Behördenleitung
6|2|Warum kann es sinnvoll sein, sich für eine Sicherheitskonzeption gemäß der Basis-Absicherung zu entscheiden?|Weil schnell Informationssicherheit umgesetzt werden muss und die Basis-Absicherung hierfür einen geeigneten Einstieg bietet.,Weil Informationssicherheit Schritt für Schritt umgesetzt werden soll. Mittelfristig kann das Sicherheitskonzept nach Standard-Absicherung ausgebaut werden.
1|3|Welche Ziele verfolgt die Strukturanalyse im Rahmen der IT-Grundschutz-Methodik?|die Ermittlung der Objekte, die in einem Sicherheitskonzept zu berücksichtigen sind; die angemessene Zusammenfassung von Objekten, für die gleiche Sicherheitsmaßnahmen angewendet werden können
2|3|Welche Informationen sollten Netzpläne enthalten, die für die Strukturanalyse benötigt werden?|die Art der Vernetzung der IT-Systeme eines Informationsverbundes; die Außenverbindungen des Netzes eines Informationsverbundes; die Art der IT-Systeme eines Informationsverbundes
3|3|Wann bietet es sich an, IT-Systeme bei der Strukturanalyse zu gruppieren?|wenn diese den gleichen Schutzbedarf und ähnliche Eigenschaften (Betriebssystem, Netzanbindung, unterstützte Anwendungen) haben
4|3|Welche der folgenden Aufgaben gehören gemäß BSI-Standard 200-2 zur Strukturanalyse?|die angemessene Gruppierung der Komponenten eines Informationsverbundes; die Erhebung der Informationen, Geschäftsprozesse, Anwendungen, IT-Systeme, Kommunikationsverbindungen und räumlichen Gegebenheiten eines Informationsverbundes
5|3|Welche Angaben sind für IT-Systeme bei der Strukturanalyse zu erfassen?|Typ und Einsatzzweck; Benutzer und Administrator; Standort (Gebäude und Raum)
6|3|Welche Anwendungen sind in der Strukturanalyse zu erfassen?|alle Anwendungen, die für mindestens einen der bereits erfassten Geschäftsprozesse erforderlich sind
